"personId","displayName","cardCount","cardIds","decades","teams","positions","ageVariantsNeeded","referenceTarget","referenceFolder","referenceStatus","identityMasterStatus","cardPortraitStatus","qaStatus","notes"
"hakeem-olajuwon","Hakeem Olajuwon","1","hak-90s","1990s","Rockets","C","1","6-8 identity references","portrait-sources/hakeem-olajuwon","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"hal-greer","Hal Greer","1","hal-60s","1960s","76ers","SG|PG","1","6-8 identity references","portrait-sources/hal-greer","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"hassan-whiteside","Hassan Whiteside","1","hassan-10s","2010s","Heat","C","1","6-8 identity references","portrait-sources/hassan-whiteside","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"hersey-hawkins","Hersey Hawkins","1","hersey-90s","1990s","76ers|Sonics","SG|PG","1","6-8 identity references","portrait-sources/hersey-hawkins","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"horace-grant","Horace Grant","1","horace-90s","1990s","Bulls|Magic","PF|SF","1","6-8 identity references","portrait-sources/horace-grant","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"isiah-thomas","Isiah Thomas","2","isiah-80s|isiah-90s","1980s|1990s","Pistons","PG","2","8-12 total plus decade-specific images","portrait-sources/isiah-thomas","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"ja-morant","Ja Morant","1","ja-20s","2020s","Grizzlies","PG|SG","1","6-8 identity references","portrait-sources/ja-morant","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jack-sikma","Jack Sikma","1","jack-80s","1980s","Sonics","C|PF","1","6-8 identity references","portrait-sources/jack-sikma","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jalen-brunson","Jalen Brunson","1","brunson-20s","2020s","Knicks","PG|SG","1","6-8 identity references","portrait-sources/jalen-brunson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jalen-williams","Jalen Williams","1","jdub-20s","2020s","Thunder","SF|SG","1","6-8 identity references","portrait-sources/jalen-williams","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jamal-murray","Jamal Murray","1","murray-20s","2020s","Nuggets","PG|SG","1","6-8 identity references","portrait-sources/jamal-murray","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"james-donaldson","James Donaldson","1","james-d-80s","1980s","Mavericks","C","1","6-8 identity references","portrait-sources/james-donaldson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"james-harden","James Harden","1","harden-10s","2010s","Rockets","SG|PG","1","6-8 identity references","portrait-sources/james-harden","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"james-silas","James Silas","1","james-70s","1970s","Spurs","PG|SG","1","6-8 identity references","portrait-sources/james-silas","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"james-worthy","James Worthy","1","worthy-80s","1980s","Lakers","SF|PF","1","6-8 identity references","portrait-sources/james-worthy","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jaren-jackson-jr","Jaren Jackson Jr.","1","jjj-20s","2020s","Grizzlies","PF|C","1","6-8 identity references","portrait-sources/jaren-jackson-jr","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jarrett-allen","Jarrett Allen","1","jallen-20s","2020s","Cavaliers","C","1","6-8 identity references","portrait-sources/jarrett-allen","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jason-kidd","Jason Kidd","2","kidd-90s|kidd-00s","1990s|2000s","Suns|Nets","PG","2","8-12 total plus decade-specific images","portrait-sources/jason-kidd","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jaylen-brown","Jaylen Brown","1","jbrown-20s","2020s","Celtics","SG|SF","1","6-8 identity references","portrait-sources/jaylen-brown","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jayson-tatum","Jayson Tatum","1","tatum-20s","2020s","Celtics","SF|SG|PF","1","6-8 identity references","portrait-sources/jayson-tatum","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jeff-hornacek","Jeff Hornacek","1","hornacek-90s","1990s","Jazz","SG|PG","1","6-8 identity references","portrait-sources/jeff-hornacek","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jeremiah-fears","Jeremiah Fears","1","fears-20s","2020s","Pelicans","PG|SG","1","6-8 identity references","portrait-sources/jeremiah-fears","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jermaine-o-neal","Jermaine O'Neal","1","jermaine-2ks","2000s","Pacers","PF|C","1","6-8 identity references","portrait-sources/jermaine-o-neal","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jerry-lucas","Jerry Lucas","1","jerry-l-60s","1960s","Royals","PF|C|SF","1","6-8 identity references","portrait-sources/jerry-lucas","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jerry-west","Jerry West","1","jerry-60s","1960s","Lakers","PG|SG","1","6-8 identity references","portrait-sources/jerry-west","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jimmy-butler","Jimmy Butler","2","butler-10s|butler-20s","2010s|2020s","Bulls|Wolves|Heat|Warriors","SF|SG|PF","2","8-12 total plus decade-specific images","portrait-sources/jimmy-butler","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jo-jo-white","Jo Jo White","1","jojo-70s","1970s","Celtics","PG|SG","1","6-8 identity references","portrait-sources/jo-jo-white","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"joe-dumars","Joe Dumars","1","dumars-90s","1990s","Pistons","SG|PG","1","6-8 identity references","portrait-sources/joe-dumars","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"joe-johnson","Joe Johnson","1","joe-j-00s","2000s","Hawks","SG|SF","1","6-8 identity references","portrait-sources/joe-johnson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"joel-embiid","Joel Embiid","2","embiid-10s|embiid-20s","2010s|2020s","76ers","C|PF","2","8-12 total plus decade-specific images","portrait-sources/joel-embiid","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"john-drew","John Drew","1","john-d-70s","1970s","Hawks","SF|SG","1","6-8 identity references","portrait-sources/john-drew","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"john-havlicek","John Havlicek","2","john-h-60s|john-h-70s","1960s|1970s","Celtics","SF|SG","2","8-12 total plus decade-specific images","portrait-sources/john-havlicek","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"john-stockton","John Stockton","1","stock-90s","1990s","Jazz","PG","1","6-8 identity references","portrait-sources/john-stockton","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"john-wall","John Wall","1","wall-2010s","2010s","Wizards","PG","1","6-8 identity references","portrait-sources/john-wall","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"johnny-moore","Johnny Moore","1","johnny-80s","1980s","Spurs","PG","1","6-8 identity references","portrait-sources/johnny-moore","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jon-mcglocklin","Jon McGlocklin","1","jon-m-60s","1960s","Bucks","SG","1","6-8 identity references","portrait-sources/jon-mcglocklin","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"josh-smith","Josh Smith","1","joshsmith-00s","2000s","Hawks","PF|SF","1","6-8 identity references","portrait-sources/josh-smith","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"jrue-holiday","Jrue Holiday","1","jrue-20s","2020s","Bucks|Celtics","PG|SG","1","6-8 identity references","portrait-sources/jrue-holiday","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"julius-erving","Julius Erving","2","julius-70s|julius-80s","1970s|1980s","Nets|76ers","SF|PF","2","8-12 total plus decade-specific images","portrait-sources/julius-erving","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"julius-randle","Julius Randle","1","randle-20s","2020s","Knicks|Timberwolves","PF|SF","1","6-8 identity references","portrait-sources/julius-randle","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kareem-abdul-jabbar","Kareem Abdul-Jabbar","2","kareem-70s|kareem-80s","1970s|1980s","Bucks|Lakers","C","2","8-12 total plus decade-specific images","portrait-sources/kareem-abdul-jabbar","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"karl-malone","Karl Malone","1","malone-90s","1990s","Jazz","PF|C","1","6-8 identity references","portrait-sources/karl-malone","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"karl-anthony-towns","Karl-Anthony Towns","1","kat-20s","2020s","Timberwolves|Knicks","C|PF","1","6-8 identity references","portrait-sources/karl-anthony-towns","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kawhi-leonard","Kawhi Leonard","2","kawhi-10s|kawhi-20s","2010s|2020s","Spurs|Raptors|Clippers","SF|SG|PF","2","8-12 total plus decade-specific images","portrait-sources/kawhi-leonard","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kemba-walker","Kemba Walker","1","kemba-10s","2010s","Hornets","PG|SG","1","6-8 identity references","portrait-sources/kemba-walker","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kevin-durant","Kevin Durant","2","durant-10s|durant-20s","2010s|2020s","Thunder|Warriors|Nets|Suns","SF|PF|SG","2","8-12 total plus decade-specific images","portrait-sources/kevin-durant","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kevin-garnett","Kevin Garnett","2","kg-00s|kg-10s","2000s|2010s","Timberwolves|Celtics","PF|C","2","8-12 total plus decade-specific images","portrait-sources/kevin-garnett","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kevin-johnson","Kevin Johnson","2","kj-80s|kj-90s","1980s|1990s","Suns","PG","2","8-12 total plus decade-specific images","portrait-sources/kevin-johnson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kevin-love","Kevin Love","1","love-10s","2010s","Timberwolves","PF|C","1","6-8 identity references","portrait-sources/kevin-love","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kevin-mchale","Kevin McHale","1","mcHale-80s","1980s","Celtics","PF|C","1","6-8 identity references","portrait-sources/kevin-mchale","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kevin-porter","Kevin Porter","1","kevin-p-70s","1970s","Pistons","PG","1","6-8 identity references","portrait-sources/kevin-porter","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"khris-middleton","Khris Middleton","1","middleton-20s","2020s","Bucks","SF|SG","1","6-8 identity references","portrait-sources/khris-middleton","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"klay-thompson","Klay Thompson","2","klay-10s|klay-20s","2010s|2020s","Warriors|Mavericks","SG|SF","2","8-12 total plus decade-specific images","portrait-sources/klay-thompson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kobe-bryant","Kobe Bryant","2","kobe-00s|kobe-10s","2000s|2010s","Lakers","SG|SF","2","8-12 total plus decade-specific images","portrait-sources/kobe-bryant","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kon-knueppel","Kon Knueppel","1","knueppel-20s","2020s","Hornets","SG|SF","1","6-8 identity references","portrait-sources/kon-knueppel","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kyle-lowry","Kyle Lowry","1","lowry-2010s","2010s","Raptors","PG","1","6-8 identity references","portrait-sources/kyle-lowry","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"kyrie-irving","Kyrie Irving","2","kyrie-10s|kyrie-20s","2010s|2020s","Cavaliers|Mavericks","PG|SG","2","8-12 total plus decade-specific images","portrait-sources/kyrie-irving","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"lamar-odom","Lamar Odom","1","lamar-00s","2000s","Heat|Lakers","SF|PF","1","6-8 identity references","portrait-sources/lamar-odom","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"lamelo-ball","LaMelo Ball","1","lamelo-20s","2020s","Hornets","PG|SG","1","6-8 identity references","portrait-sources/lamelo-ball","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"larry-bird","Larry Bird","1","bird-80s","1980s","Celtics","SF|PF","1","6-8 identity references","portrait-sources/larry-bird","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"larry-johnson","Larry Johnson","1","larry-j-90s","1990s","Hornets","PF|SF","1","6-8 identity references","portrait-sources/larry-johnson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"larry-kenon","Larry Kenon","1","kenon-70s","1970s","Spurs","SF|PF","1","6-8 identity references","portrait-sources/larry-kenon","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"larry-nance","Larry Nance","2","nance-80s|nance-90s","1980s|1990s","Suns|Cavaliers","PF|C","2","8-12 total plus decade-specific images","portrait-sources/larry-nance","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"larry-siegfried","Larry Siegfried","1","larry-s-60s","1960s","Celtics","SG|PG","1","6-8 identity references","portrait-sources/larry-siegfried","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"latrell-sprewell","Latrell Sprewell","1","spree-90s","1990s","Warriors|Knicks","SG|SF","1","6-8 identity references","portrait-sources/latrell-sprewell","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"lauri-markkanen","Lauri Markkanen","1","lauri-20s","2020s","Jazz","PF|SF","1","6-8 identity references","portrait-sources/lauri-markkanen","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"lebron-james","LeBron James","3","lebron-00s|lebron-10s|lebron-20s","2000s|2010s|2020s","Cavaliers|Heat|Lakers","SF|PF|PG","3","8-12 total plus decade-specific images","portrait-sources/lebron-james","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"lenny-wilkens","Lenny Wilkens","1","lenny-60s","1960s","Hawks","PG|SG","1","6-8 identity references","portrait-sources/lenny-wilkens","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"leroy-ellis","LeRoy Ellis","1","leroy-60s","1960s","Lakers","C|PF","1","6-8 identity references","portrait-sources/leroy-ellis","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"lou-hudson","Lou Hudson","1","hudson-70s","1970s","Hawks","SG|SF","1","6-8 identity references","portrait-sources/lou-hudson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"luc-longley","Luc Longley","1","luc-90s","1990s","Bulls","C","1","6-8 identity references","portrait-sources/luc-longley","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"lucius-allen","Lucius Allen","1","lucius-60s","1960s","Bucks","PG|SG","1","6-8 identity references","portrait-sources/lucius-allen","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"luka-doncic","Luka Doncic","2","luka-10s|luka-20s","2010s|2020s","Mavericks","PG|SF","2","8-12 total plus decade-specific images","portrait-sources/luka-doncic","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"magic-johnson","Magic Johnson","1","magic-80s","1980s","Lakers","PG|SF","1","6-8 identity references","portrait-sources/magic-johnson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"manu-ginobili","Manu Ginobili","1","manu-00s","2000s","Spurs","SG|PG","1","6-8 identity references","portrait-sources/manu-ginobili","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"marc-gasol","Marc Gasol","1","marc-10s","2010s","Grizzlies","C|PF","1","6-8 identity references","portrait-sources/marc-gasol","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"marcus-camby","Marcus Camby","1","camby-2ks","2000s","Nuggets","C|PF","1","6-8 identity references","portrait-sources/marcus-camby","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"marcus-smart","Marcus Smart","1","smart-20s","2020s","Celtics","PG|SG","1","6-8 identity references","portrait-sources/marcus-smart","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mark-aguirre","Mark Aguirre","1","mark-80s","1980s","Mavericks","SF|PF","1","6-8 identity references","portrait-sources/mark-aguirre","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mark-eaton","Mark Eaton","1","eaton-80s","1980s","Jazz","C","1","6-8 identity references","portrait-sources/mark-eaton","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mark-price","Mark Price","2","price-80s|mark-p-90s","1980s|1990s","Cavaliers","PG","2","8-12 total plus decade-specific images","portrait-sources/mark-price","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"marques-johnson","Marques Johnson","1","marques-70s","1970s","Bucks","SF|PF","1","6-8 identity references","portrait-sources/marques-johnson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"maurice-cheeks","Maurice Cheeks","1","mo-80s","1980s","76ers","PG","1","6-8 identity references","portrait-sources/maurice-cheeks","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"maurice-lucas","Maurice Lucas","1","lucas-m-70s","1970s","Blazers","PF|C","1","6-8 identity references","portrait-sources/maurice-lucas","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mehmet-okur","Mehmet Okur","1","okur-00s","2000s","Jazz","C|PF","1","6-8 identity references","portrait-sources/mehmet-okur","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"michael-cooper","Michael Cooper","1","cooper-80s","1980s","Lakers","SG|SF","1","6-8 identity references","portrait-sources/michael-cooper","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"michael-finley","Michael Finley","1","finley-00s","2000s","Mavericks|Spurs","SG|SF","1","6-8 identity references","portrait-sources/michael-finley","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"michael-jordan","Michael Jordan","2","jordan-80s|jordan-90s","1980s|1990s","Bulls","SG|SF","2","8-12 total plus decade-specific images","portrait-sources/michael-jordan","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"michael-redd","Michael Redd","1","redd-00s","2000s","Bucks","SG","1","6-8 identity references","portrait-sources/michael-redd","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"micheal-ray-richardson","Micheal Ray Richardson","1","sugar-80s","1980s","Knicks|Nets","PG|SG","1","6-8 identity references","portrait-sources/micheal-ray-richardson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mikal-bridges","Mikal Bridges","1","mikal-20s","2020s","Suns|Nets|Knicks","SF|SG","1","6-8 identity references","portrait-sources/mikal-bridges","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mike-bibby","Mike Bibby","1","bibby-00s","2000s","Kings","PG","1","6-8 identity references","portrait-sources/mike-bibby","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mike-conley","Mike Conley","1","conley-10s","2010s","Grizzlies","PG","1","6-8 identity references","portrait-sources/mike-conley","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mike-newlin","Mike Newlin","1","mike-n-70s","1970s","Rockets","SG|PG","1","6-8 identity references","portrait-sources/mike-newlin","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mitch-richmond","Mitch Richmond","1","mitch-90s","1990s","Kings","SG","1","6-8 identity references","portrait-sources/mitch-richmond","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mitchell-robinson","Mitchell Robinson","1","mitch-r-20s","2020s","Knicks","C","1","6-8 identity references","portrait-sources/mitchell-robinson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mookie-blaylock","Mookie Blaylock","1","mookie-90s","1990s","Hawks","PG","1","6-8 identity references","portrait-sources/mookie-blaylock","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"moses-malone","Moses Malone","1","moses-80s","1980s","76ers|Rockets","C|PF","1","6-8 identity references","portrait-sources/moses-malone","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"mychal-thompson","Mychal Thompson","1","mychal-80s","1980s","Blazers|Lakers","C|PF","1","6-8 identity references","portrait-sources/mychal-thompson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"myles-turner","Myles Turner","1","turner-20s","2020s","Pacers|Bucks","C|PF","1","6-8 identity references","portrait-sources/myles-turner","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"nate-archibald","Nate ""Tiny"" Archibald","2","tiny-70s|tiny-80s","1970s|1980s","Kings|Celtics","PG","2","8-12 total plus decade-specific images","portrait-sources/nate-archibald","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"nate-thurmond","Nate Thurmond","1","nate-60s","1960s","Warriors","C|PF","1","6-8 identity references","portrait-sources/nate-thurmond","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"nick-van-exel","Nick Van Exel","1","van-ex-90s","1990s","Lakers","PG|SG","1","6-8 identity references","portrait-sources/nick-van-exel","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"nikola-jokic","Nikola Jokic","2","jokic-10s|jokic-20s","2010s|2020s","Nuggets","C|PF","2","8-12 total plus decade-specific images","portrait-sources/nikola-jokic","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"norm-van-lier","Norm Van Lier","1","norm-70s","1970s","Bulls","PG|SG","1","6-8 identity references","portrait-sources/norm-van-lier","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"og-anunoby","OG Anunoby","1","og-20s","2020s","Raptors|Knicks","SF|SG|PF","1","6-8 identity references","portrait-sources/og-anunoby","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"oscar-robertson","Oscar Robertson","2","oscar-60s|oscar-70s","1960s|1970s","Royals|Bucks","PG|SG","2","8-12 total plus decade-specific images","portrait-sources/oscar-robertson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"otis-thorpe","Otis Thorpe","1","otis-90s","1990s","Rockets","PF|C","1","6-8 identity references","portrait-sources/otis-thorpe","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"paolo-banchero","Paolo Banchero","1","paolo-20s","2020s","Magic","PF|SF|C","1","6-8 identity references","portrait-sources/paolo-banchero","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"pascal-siakam","Pascal Siakam","1","siakam-20s","2020s","Raptors|Pacers","PF|SF","1","6-8 identity references","portrait-sources/pascal-siakam","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"patrick-ewing","Patrick Ewing","1","ewing-90s","1990s","Knicks","C","1","6-8 identity references","portrait-sources/patrick-ewing","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"pau-gasol","Pau Gasol","1","melo-f-00s","2000s","Grizzlies|Lakers","PF|C","1","6-8 identity references","portrait-sources/pau-gasol","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"paul-arizin","Paul Arizin","2","arizin-50s|arizin-60s","1950s|1960s","Warriors","SF|SG","2","8-12 total plus decade-specific images","portrait-sources/paul-arizin","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"paul-george","Paul George","2","pg-10s|pg-20s","2010s|2020s","Pacers|Thunder|Clippers|76ers","SF|SG|PF","2","8-12 total plus decade-specific images","portrait-sources/paul-george","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"paul-pierce","Paul Pierce","1","pierce-00s","2000s","Celtics","SF|SG","1","6-8 identity references","portrait-sources/paul-pierce","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"paul-silas","Paul Silas","2","paul-s-60s|paul-s-70s","1960s|1970s","Hawks|Suns|Celtics","PF|C|SF","2","8-12 total plus decade-specific images","portrait-sources/paul-silas","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"paul-westphal","Paul Westphal","1","westphal-70s","1970s","Suns","SG|PG","1","6-8 identity references","portrait-sources/paul-westphal","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"peja-stojakovic","Peja Stojakovic","1","peja-00s","2000s","Kings","SF|SG","1","6-8 identity references","portrait-sources/peja-stojakovic","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"penny-hardaway","Penny Hardaway","1","penny-90s","1990s","Magic","PG|SG","1","6-8 identity references","portrait-sources/penny-hardaway","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"pete-maravich","Pete Maravich","1","pete-70s","1970s","Jazz","PG|SG","1","6-8 identity references","portrait-sources/pete-maravich","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"phil-chenier","Phil Chenier","1","phil-c-70s","1970s","Bullets","SG|PG","1","6-8 identity references","portrait-sources/phil-chenier","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"popeye-jones","Popeye Jones","1","popeye-90s","1990s","Mavericks","PF|C","1","6-8 identity references","portrait-sources/popeye-jones","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"rajon-rondo","Rajon Rondo","1","rondo-10s","2010s","Celtics","PG","1","6-8 identity references","portrait-sources/rajon-rondo","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"randy-smith","Randy Smith","1","randy-70s","1970s","Braves","SG|PG","1","6-8 identity references","portrait-sources/randy-smith","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"rashard-lewis","Rashard Lewis","1","rashard-00s","2000s","Sonics","SF|PF","1","6-8 identity references","portrait-sources/rashard-lewis","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"rasheed-wallace","Rasheed Wallace","1","sheed-2ks","2000s","Blazers|Pistons","PF|C","1","6-8 identity references","portrait-sources/rasheed-wallace","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"ray-allen","Ray Allen","1","ray-00s","2000s","Sonics","SG","1","6-8 identity references","portrait-sources/ray-allen","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
